0,0,15732,31435,-1,-1,-1,-1,-1,-1
1,17.437,6942,13851,-1,-1,-1,-1,-1,-1
2,6.01373,9680,56466,-1,-1,-1,-1,-1,-1
3,21.4592,9680,56466,-1,-1,-1,-1,-1,-1
4,5.77224,45057,89985,-1,-1,-1,-1,-1,-1
5,44.7081,89084,489801,-1,-1,-1,-1,-1,-1
6,3.00025,89084,489801,0,0.206148,3.14159,2.58473,1e+50,1.2454e+46
8,62.3949,11145,66821,0,0.379084,3.14159,2.24408,840963,103.461
7,1.07821,19768,108966,0,0.45688,3.14159,2.13499,840963,91.0775
8,10.2441,13606,79689,0,0.438238,3.14159,2.19253,840963,74.6968
9,5.6358,13606,74998,0,0.487368,3.14159,2.10713,271825,18.5696
10,9.7308,13606,74998,0,0.514368,3.14159,2.09074,271825,15.0437
7,0.880711,16809,89711,0,0.545852,3.14159,2.05244,271825,13.3358
8,10.9635,12532,69302,0,0.528508,3.14159,2.06943,271825,14.9449
9,3.42704,12532,68866,0,0.538257,3.14159,2.04825,271825,11.5578
10,8.12658,12532,68866,0,0.550717,3.14159,2.03848,271825,11.266
7,0.765286,14565,77613,0,0.570334,3.14159,2.01756,271825,10.4972
8,7.76784,12425,68239,0,0.553154,3.14159,2.03559,271825,11.2625
9,3.03165,12425,68165,0,0.5561,3.14159,2.02872,271825,11.1399
10,7.65668,12425,68165,0,0.562565,3.14159,2.02203,271825,10.8858
7,0.739433,13876,74100,0,0.57548,3.14159,2.00936,271825,10.3692
8,6.93179,12297,67420,0,0.561374,3.14159,2.02359,271825,10.9458
9,2.83548,12297,67412,0,0.562682,3.14159,2.01985,271825,10.8741
10,7.33634,12297,67412,0,0.566479,3.14159,2.01594,271825,10.8037
11,0.030399,-1,-1,-1,-1,-1,-1,-1,-1
7,0.718356,13635,72835,0,0.57814,3.14159,2.00491,271825,10.3316
8,6.15948,12300,67410,0,0.566493,3.14159,2.01613,271825,10.7955
9,2.77313,12300,67376,0,0.56777,3.14159,2.01305,271825,10.7522
10,7.11416,12300,67376,0,0.570534,3.14159,2.01009,271825,10.7093
7,0.702139,13400,71681,0,0.580128,3.14159,2.00133,271825,10.3276
8,6.11277,12295,67332,0,0.569955,3.14159,2.0108,271825,10.712
9,2.70891,12295,67326,0,0.570705,3.14159,2.00927,271825,10.6898
10,6.93737,12295,67326,0,0.572457,3.14159,2.00763,271825,10.6678
7,0.717497,13310,71245,0,0.581283,3.14159,1.99914,271825,10.3187
8,6.38101,12284,67282,0,0.572404,3.14159,2.00789,271825,10.6707
9,2.66077,12284,67285,0,0.572766,3.14159,2.0069,271825,10.6634
10,6.7571,12284,67285,0,0.573904,3.14159,2.00564,271825,10.6495
11,0.033134,-1,-1,-1,-1,-1,-1,-1,-1
7,0.699906,13310,71258,0,0.582304,3.14159,1.99755,271825,10.3008
8,5.83669,12321,67423,0,0.574286,3.14159,2.00576,271825,10.6354
9,2.93884,12321,67429,0,0.574487,3.14159,2.00479,271825,10.6251
10,6.95744,12321,67429,0,0.575177,3.14159,2.00383,271825,10.6136
7,0.778976,13246,70989,0,0.582986,3.14159,1.99626,271825,10.2992
8,6.62692,12316,67418,0,0.575152,3.14159,2.00411,271825,10.6134
9,2.69174,12316,67426,0,0.575376,3.14159,2.00357,271825,10.6073
10,6.68578,12316,67426,0,0.576254,3.14159,2.00226,271825,10.5977
11,0.169493,-1,-1,-1,-1,-1,-1,-1,-1
7,0.913042,17438,92343,0,0.589206,3.14159,1.98574,271825,9.37183
8,7.98042,13473,73871,0,0.586544,3.14159,1.99412,271825,9.94048
9,3.27351,13473,73982,0,0.588799,3.14159,1.98672,271825,9.84608
